ANNOSCOLASTICO;CODICESCUOLA;INDIRIZZOSCUOLA;DenominazioneIstitutoRiferimento;DenominazioneScuola;CAPSCUOLA;PERCORSO;INDIRIZZOSCOLASTICA;ALUNNIMASCHI;ALUNNIFEMMINE
202021;MITF290008;VIA A. DE VINCENTI 11;ETTORE CONTI;ETTORE CONTI;20148;TECNOLOGICO;MECC. MECCATRON. ENER. - BIENNIO COMUNE;17;4
202021;MITD09901Q;VIA SETTEMBRINI 4;SCHIAPARELLI-GRAMSCI;SCHIAPARELLI;20124;ECONOMICO;AMMINISTRAZIONE FINANZA E MARKETING - TRIENNIO;50;16
202021;MIRI072015;VIA ALCUINO 4;SEVERI - CORRENTI;C.CORRENTI;20149;NUOVI PROFESSIONALI;ARTI AUSILIARIE DELLE PROFESSIONI SANITARIE: ODONTOTECNICO;25;41
202021;MITF093013;VIA F.LLI ZOIA 130;MARIE CURIE - PIERO SRAFFA;MARIE CURIE;20153;SCIENTIFICO;SCIENTIFICO - OPZIONE SCIENZE APPLICATE;65;19
202021;MISL01000C;VIA HAJECH 27;LICEO ARTISTICO STATALE DI BRERA;LICEO ARTISTICO STATALE DI BRERA;20129;ARTISTICO;DESIGN - MODA;3;10
202021;MITF10101R;VIA U. DINI 7;TORRICELLI;TORRICELLI;20142;SCIENTIFICO;SCIENTIFICO - OPZIONE SCIENZE APPLICATE;74;36
202021;MITN102018;VIA MELZI D'ERIL 9;DANIELE MARIGNONI - MARCO POLO;DANIELE MARIGNONI-MARCO POLO;20154;ECONOMICO;TURISMO;26;43
202021;MIRC079017;VIALE LOMBARDIA 89;"I.I.S. ""CATERINA DA SIENA""";"I.P.S. ""CATERINA DA SIENA""";20131;NUOVI PROFESSIONALI;SERVIZI COMMERCIALI;34;39
202021;MIRC058016;VIA OTRANTO 1;PAOLO FRISI;PAOLO FRISI;20157;SERVIZI;ENOGASTRONOMIA - TRIENNIO;66;35
202021;MIPS039018;VIA FRANCESCO GATTI 16;BERTRAND RUSSELL;BERTRAND RUSSELL;20162;SCIENTIFICO;SCIENTIFICO;33;37
202021;MIPM11000D;BASTIONI PORTA VOLTA 16;CARLO TENCA;CARLO TENCA;20121;SCIENZE UMANE;SCIENZE UMANE - OPZ. ECONOMICO SOCIALE;25;48
202021;MITN094521;C.SO DI PORTA ROMANA 110;BERTARELLI - FERRARIS;I.I.S. BERTARELLI - FERRARIS;20122;ECONOMICO;TURISMO;3;6
202021;MIRC07701G;VIA PARAVIA 31;G. GALILEI - R. LUXEMBURG;GALILEI;20148;IeFP;OPERATORE MECCANICO;17;0
202021;MITF11000E;VIA CRESCENZAGO 110;ITT-LS MOLINARI;ITT-LS MOLINARI;20132;TECNOLOGICO;INFORMATICA;72;6
202021;MIPS05401A;VIA GATTI 14;GALVANI;GALVANI;20162;LINGUISTICO;LINGUISTICO;7;26
202021;MITF093013;VIA F.LLI ZOIA 130;MARIE CURIE - PIERO SRAFFA;MARIE CURIE;20153;TECNOLOGICO;BIOTECNOLOGIE SANITARIE;22;21
202021;MIPS039018;VIA FRANCESCO GATTI 16;BERTRAND RUSSELL;BERTRAND RUSSELL;20162;SCIENZE UMANE;SCIENZE UMANE;7;48
202021;MIPS08000T;VIA BENEDETTO MARCELLO7;VOLTA;VOLTA;20124;SCIENTIFICO;SCIENTIFICO;143;102
202021;MITF290008;VIA A. DE VINCENTI 11;ETTORE CONTI;ETTORE CONTI;20148;SCIENTIFICO;SCIENTIFICO - OPZIONE SCIENZE APPLICATE;107;37
202021;MISL01000C;VIA HAJECH 27;LICEO ARTISTICO STATALE DI BRERA;LICEO ARTISTICO STATALE DI BRERA;20129;ARTISTICO;SCENOGRAFIA;12;22
202021;MIRC07701G;VIA PARAVIA 31;G. GALILEI - R. LUXEMBURG;GALILEI;20148;SERVIZI;SERVIZI SOCIO-SANITARI;1;11
202021;MIPM11000D;BASTIONI PORTA VOLTA 16;CARLO TENCA;CARLO TENCA;20121;LINGUISTICO;LINGUISTICO;6;73
202021;MIPS37000T;VIALE CAMPANIA6 E VIA A.CORTI16;"L.S.S. ""R.DONATELLI-B.PASCAL""";"L.S.S. ""R.DONATELLI-B.PASCAL""";20133;SCIENTIFICO;SCIENTIFICO;93;73
202021;MITF10101R;VIA U. DINI 7;TORRICELLI;TORRICELLI;20142;TECNOLOGICO;CHIM. MATER. BIOTECN. - BIENNIO COMUNE;19;7
202021;MITN094521;C.SO DI PORTA ROMANA 110;BERTARELLI - FERRARIS;I.I.S. BERTARELLI - FERRARIS;20122;ECONOMICO;TURISMO;15;20
202021;MITF11000E;VIA CRESCENZAGO 110;ITT-LS MOLINARI;ITT-LS MOLINARI;20132;SCIENTIFICO;SCIENTIFICO - OPZIONE SCIENZE APPLICATE;47;15
202021;MIPC110009;VIA DELLA PASSIONE 12;E.SETTI CARRARO DALLA CHIESA C/O EDUC.;E.SETTI CARRARO DALLA CHIESA C/O EDUC.;20122;EUROPEO;LICEO CLASSICO EUROPEO - ESABAC;3;20
202021;MIPS05401A;VIA GATTI 14;GALVANI;GALVANI;20162;LINGUISTICO;LICEO LINGUISTICO - ESABAC;5;11
202021;MIRC07701G;VIA PARAVIA 31;G. GALILEI - R. LUXEMBURG;GALILEI;20148;NUOVI PROFESSIONALI;ARTI AUSILIARIE DELLE PROFESSIONI SANITARIE: OTTICO;17;8
202021;MIRC05851G;VIA OTRANTO - CITTADINI1;PAOLO FRISI;FRISI;20157;SERVIZI;SERVIZI COMMERCIALI;20;9
202021;MIPS08000T;VIA BENEDETTO MARCELLO7;VOLTA;VOLTA;20124;SCIENTIFICO;SCIENTIFICO;153;85
202021;MITF093013;VIA F.LLI ZOIA 130;MARIE CURIE - PIERO SRAFFA;MARIE CURIE;20153;TECNOLOGICO;CHIM. MATER. BIOTECN. - BIENNIO COMUNE;40;34
202021;MIPS039018;VIA FRANCESCO GATTI 16;BERTRAND RUSSELL;BERTRAND RUSSELL;20162;SCIENTIFICO;SCIENTIFICO;31;43
202021;MIPS05101V;VIA ULISSE DINI 7;CLAUDIO VARALLI;"""CLAUDIO VARALLI""";20142;LINGUISTICO;LINGUISTICO;18;103
202021;MIRC07701G;VIA PARAVIA 31;G. GALILEI - R. LUXEMBURG;GALILEI;20148;SERVIZI;SERVIZI SOCIO-SANITARI - OTTICO;10;16
202021;MIRC058016;VIA OTRANTO 1;PAOLO FRISI;PAOLO FRISI;20157;SERVIZI;SERVIZI SOCIO-SANITARI;3;18
202021;MITF10101R;VIA U. DINI 7;TORRICELLI;TORRICELLI;20142;TECNOLOGICO;INFOR. TELECOM. - BIENNIO COMUNE;54;3
202021;MIPS05401A;VIA GATTI 14;GALVANI;GALVANI;20162;LINGUISTICO;LINGUISTICO;3;30
202021;MIRC07701G;VIA PARAVIA 31;G. GALILEI - R. LUXEMBURG;GALILEI;20148;NUOVI PROFESSIONALI;ARTI AUSILIARIE DELLE PROFESSIONI SANITARIE: OTTICO;12;13
202021;MIRH038016;VIA LITTA MODIGNANI 65;GIUSEPPE LUIGI LAGRANGE;"""G. BRERA """;20161;NUOVI PROFESSIONALI;ENOGASTRONOMIA E OSPITALITA' ALBERGHIERA;73;66
202021;MITD004015;PIAZZA DELLA VETRA 9;CARLO CATTANEO;"IST.TEC.STAT.PER RAG.""CATTANEO""";20123;ECONOMICO;AMMINISTRAZIONE FINANZA E MARKETING - TRIENNIO;16;12
202021;MITF11000E;VIA CRESCENZAGO 110;ITT-LS MOLINARI;ITT-LS MOLINARI;20132;TECNOLOGICO;BIOTECNOLOGIE AMBIENTALI;11;4
202021;MIRC05851G;VIA OTRANTO - CITTADINI1;PAOLO FRISI;FRISI;20157;SERVIZI;SERVIZI DI SALA E DI VENDITA - TRIENNIO;12;7
202021;MITF08201L;VIALE LIGURIA21;GIORGI;GIORGI;20143;TECNOLOGICO;MECCANICA E MECCATRONICA;43;0
202021;MITF093013;VIA F.LLI ZOIA 130;MARIE CURIE - PIERO SRAFFA;MARIE CURIE;20153;TECNOLOGICO;INFOR. TELECOM. - BIENNIO COMUNE;82;7
202021;MISL01000C;VIA HAJECH 27;LICEO ARTISTICO STATALE DI BRERA;LICEO ARTISTICO STATALE DI BRERA;20129;ARTISTICO;DESIGN - ARREDAMENTO E LEGNO;11;39
202021;MIPS05101V;VIA ULISSE DINI 7;CLAUDIO VARALLI;"""CLAUDIO VARALLI""";20142;LINGUISTICO;LINGUISTICO;17;68
202021;MIPS03601R;VIA LITTA MODIGNANI 55;"""VILFREDO FEDERICO PARETO""";"""VILFREDO FEDERICO PARETO""";20161;SCIENZE UMANE;SCIENZE UMANE;8;27
202021;MIPS08000T;VIA BENEDETTO MARCELLO7;VOLTA;VOLTA;20124;SCIENTIFICO;SCIENTIFICO;143;109
202021;MITD004015;PIAZZA DELLA VETRA 9;CARLO CATTANEO;"IST.TEC.STAT.PER RAG.""CATTANEO""";20123;ECONOMICO;RELAZIONI INTERNAZIONALI PER IL MARKETING;9;15
202021;MIPM11000D;BASTIONI PORTA VOLTA 16;CARLO TENCA;CARLO TENCA;20121;SCIENZE UMANE;SCIENZE UMANE;9;77
202021;MIPS16000D;VIA DEI NARCISI5;"""G.MARCONI""";"""G.MARCONI""";20147;SCIENTIFICO;SCIENTIFICO;37;28
202021;MIPS37000T;VIALE CAMPANIA6 E VIA A.CORTI16;"L.S.S. ""R.DONATELLI-B.PASCAL""";"L.S.S. ""R.DONATELLI-B.PASCAL""";20133;SCIENTIFICO;SCIENTIFICO;100;87
202021;MITF10101R;VIA U. DINI 7;TORRICELLI;TORRICELLI;20142;TECNOLOGICO;MECC. MECCATRON. ENER. - BIENNIO COMUNE;26;0
202021;MIRC07701G;VIA PARAVIA 31;G. GALILEI - R. LUXEMBURG;GALILEI;20148;NUOVI PROFESSIONALI;SERVIZI PER LA SANITA' E L'ASSISTENZA SOCIALE;5;18
202021;MIRC05851G;VIA OTRANTO - CITTADINI1;PAOLO FRISI;FRISI;20157;SERVIZI;ACCOGLIENZA TURISTICA - TRIENNIO;13;15
202021;MIRC07701G;VIA PARAVIA 31;G. GALILEI - R. LUXEMBURG;GALILEI;20148;SERVIZI;SERVIZI SOCIO-SANITARI;0;15
202021;MIRH038016;VIA LITTA MODIGNANI 65;GIUSEPPE LUIGI LAGRANGE;"""G. BRERA """;20161;NUOVI PROFESSIONALI;ENOGASTRONOMIA E OSPITALITA' ALBERGHIERA;78;63
202021;MIPC110009;VIA DELLA PASSIONE 12;E.SETTI CARRARO DALLA CHIESA C/O EDUC.;E.SETTI CARRARO DALLA CHIESA C/O EDUC.;20122;LINGUISTICO;LINGUISTICO;6;24
202021;MIPS05401A;VIA GATTI 14;GALVANI;GALVANI;20162;LINGUISTICO;LINGUISTICO;14;45
202021;MIPS04301X;VIA DON CALABRIA 16;IS F.BESTA;"""BESTA""";20132;SCIENZE UMANE;SCIENZE UMANE - OPZ. ECONOMICO SOCIALE;20;59
202021;MITF08201L;VIALE LIGURIA21;GIORGI;GIORGI;20143;TECNOLOGICO;TELECOMUNICAZIONI;61;4
202021;MIPS08000T;VIA BENEDETTO MARCELLO7;VOLTA;VOLTA;20124;SCIENTIFICO;SCIENTIFICO;151;96
202021;MIPS039018;VIA FRANCESCO GATTI 16;BERTRAND RUSSELL;BERTRAND RUSSELL;20162;SCIENTIFICO;SCIENTIFICO;32;43
202021;MIRH010009;VIA VALVASSORI PERONI8;A. VESPUCCI;A. VESPUCCI;20133;SERVIZI;ACCOGLIENZA TURISTICA - TRIENNIO;3;31
202021;MIPS37000T;VIALE CAMPANIA6 E VIA A.CORTI16;"L.S.S. ""R.DONATELLI-B.PASCAL""";"L.S.S. ""R.DONATELLI-B.PASCAL""";20133;SCIENTIFICO;SCIENTIFICO;116;70
202021;MIPS18000P;VIA MARIO DONATI5/7;ELIO VITTORINI;ELIO VITTORINI;20146;SCIENTIFICO;SCIENTIFICO;139;106
202021;MITF10101R;VIA U. DINI 7;TORRICELLI;TORRICELLI;20142;SCIENTIFICO;SCIENTIFICO - OPZIONE SCIENZE APPLICATE;93;38
202021;MIRC05851G;VIA OTRANTO - CITTADINI1;PAOLO FRISI;FRISI;20157;SERVIZI;ENOGASTRONOMIA - TRIENNIO;18;7
202021;MIRC07701G;VIA PARAVIA 31;G. GALILEI - R. LUXEMBURG;GALILEI;20148;SERVIZI;SERVIZI SOCIO-SANITARI - OTTICO;9;8
202021;MIPC110009;VIA DELLA PASSIONE 12;E.SETTI CARRARO DALLA CHIESA C/O EDUC.;E.SETTI CARRARO DALLA CHIESA C/O EDUC.;20122;CLASSICO;CLASSICO;6;12
202021;MIPS05401A;VIA GATTI 14;GALVANI;GALVANI;20162;LINGUISTICO;LINGUISTICO;16;51
202021;MIRH02000X;VIA URUGUAY 26/3;CARLO PORTA;CARLO PORTA;20151;SERVIZI;SERVIZI DI SALA E DI VENDITA - TRIENNIO;39;24
202021;MITD004015;PIAZZA DELLA VETRA 9;CARLO CATTANEO;"IST.TEC.STAT.PER RAG.""CATTANEO""";20123;ECONOMICO;AMM. FINAN. MARKETING - BIENNIO COMUNE;62;32
202021;MITF08201L;VIALE LIGURIA21;GIORGI;GIORGI;20143;TECNOLOGICO;ELETTRONICA;18;0
202021;MIPS05101V;VIA ULISSE DINI 7;CLAUDIO VARALLI;"""CLAUDIO VARALLI""";20142;LINGUISTICO;LINGUISTICO;27;115
202021;MIRC07701G;VIA PARAVIA 31;G. GALILEI - R. LUXEMBURG;GALILEI;20148;NUOVI PROFESSIONALI;SERVIZI PER LA SANITA' E L'ASSISTENZA SOCIALE;7;13
202021;MIPC110009;VIA DELLA PASSIONE 12;E.SETTI CARRARO DALLA CHIESA C/O EDUC.;E.SETTI CARRARO DALLA CHIESA C/O EDUC.;20122;EUROPEO;LICEO CLASSICO EUROPEO;5;25
202021;MIPS07201X;VIA ALCUINO 4;SEVERI - CORRENTI;""" SEVERI """;20149;LINGUISTICO;LINGUISTICO;9;37
202021;MITD04301Q;VIA DON G.CALABRIA16;IS F.BESTA;F.BESTA;20132;ECONOMICO;SISTEMI INFORMATIVI AZIENDALI;20;6
202021;MIRH010009;VIA VALVASSORI PERONI8;A. VESPUCCI;A. VESPUCCI;20133;SERVIZI;ENOGASTRONOMIA - TRIENNIO;63;28
202021;MIPS16000D;VIA DEI NARCISI5;"""G.MARCONI""";"""G.MARCONI""";20147;LINGUISTICO;LICEO LINGUISTICO - ESABAC;2;8
202021;MIRC07701G;VIA PARAVIA 31;G. GALILEI - R. LUXEMBURG;GALILEI;20148;IeFP;OPERATORE MECCANICO;17;0
202021;MITD004015;PIAZZA DELLA VETRA 9;CARLO CATTANEO;"IST.TEC.STAT.PER RAG.""CATTANEO""";20123;ECONOMICO;AMM. FINAN. MARKETING - BIENNIO COMUNE;44;58
202021;MIRH038016;VIA LITTA MODIGNANI 65;GIUSEPPE LUIGI LAGRANGE;"""G. BRERA """;20161;NUOVI PROFESSIONALI;ENOGASTRONOMIA E OSPITALITA' ALBERGHIERA;75;33
202021;MITF08201L;VIALE LIGURIA21;GIORGI;GIORGI;20143;TECNOLOGICO;ELETTROTECNICA;17;1
202021;MIPC110009;VIA DELLA PASSIONE 12;E.SETTI CARRARO DALLA CHIESA C/O EDUC.;E.SETTI CARRARO DALLA CHIESA C/O EDUC.;20122;INTERNAZIONALE;LICEO LINGUISTICO INTERNAZIONALE - OPZIONE SPAGNOLA;1;24
202021;MIPS04301X;VIA DON CALABRIA 16;IS F.BESTA;"""BESTA""";20132;SCIENZE UMANE;SCIENZE UMANE - OPZ. ECONOMICO SOCIALE;31;77
202021;MIPS07201X;VIA ALCUINO 4;SEVERI - CORRENTI;""" SEVERI """;20149;SCIENTIFICO;SCIENTIFICO;51;51
202021;MITD026012;VIALE MARCHE 71;CREMONA;"ITE ""G.ZAPPA""-SEZ. ASS. I.I.S. CREMONA";20159;ECONOMICO;AMMINISTRAZIONE FINANZA E MARKETING - TRIENNIO;20;20
202021;MITF08201L;VIALE LIGURIA21;GIORGI;GIORGI;20143;TECNOLOGICO;MECCANICA E MECCATRONICA;60;0
202021;MIRH010009;VIA VALVASSORI PERONI8;A. VESPUCCI;A. VESPUCCI;20133;SERVIZI;PRODOTTI DOLCIARI ARTIGIANALI E INDUSTRIALI - OPZIONE;11;11
202021;MITD04301Q;VIA DON G.CALABRIA16;IS F.BESTA;F.BESTA;20132;ECONOMICO;TURISMO;3;29
202021;MIPS16000D;VIA DEI NARCISI5;"""G.MARCONI""";"""G.MARCONI""";20147;LINGUISTICO;LINGUISTICO;22;63
202021;MIRC05851G;VIA OTRANTO - CITTADINI1;PAOLO FRISI;FRISI;20157;SERVIZI;SERVIZI SOCIO-SANITARI;16;7
202021;MITD04301Q;VIA DON G.CALABRIA16;IS F.BESTA;F.BESTA;20132;ECONOMICO;AMMINISTRAZIONE FINANZA E MARKETING - TRIENNIO;9;5
202021;MITN102018;VIA MELZI D'ERIL 9;DANIELE MARIGNONI - MARCO POLO;DANIELE MARIGNONI-MARCO POLO;20154;ECONOMICO;TURISMO;6;28
202021;MIPC039015;VIA FRANCESCO GATTI 16;BERTRAND RUSSELL;OMERO;20162;CLASSICO;CLASSICO;7;11
202021;MIRC079017;VIALE LOMBARDIA 89;"I.I.S. ""CATERINA DA SIENA""";"I.P.S. ""CATERINA DA SIENA""";20131;NUOVI PROFESSIONALI;SERVIZI COMMERCIALI;40;43
202021;MIPS04301X;VIA DON CALABRIA 16;IS F.BESTA;"""BESTA""";20132;SCIENZE UMANE;SCIENZE UMANE - OPZ. ECONOMICO SOCIALE;20;55
202021;MIRH010009;VIA VALVASSORI PERONI8;A. VESPUCCI;A. VESPUCCI;20133;SERVIZI;SERVIZI DI SALA E DI VENDITA - TRIENNIO;35;33
202021;MIPC05000V;VIA DELLA COMMENDA26;BERCHET;BERCHET;20122;CLASSICO;CLASSICO;67;129
202021;MIPS16000D;VIA DEI NARCISI5;"""G.MARCONI""";"""G.MARCONI""";20147;LINGUISTICO;LINGUISTICO;14;67
202021;MITD026012;VIALE MARCHE 71;CREMONA;"ITE ""G.ZAPPA""-SEZ. ASS. I.I.S. CREMONA";20159;ECONOMICO;SISTEMI INFORMATIVI AZIENDALI;30;8
202021;MITF03801E;VIA LITTA MODIGNANI65;GIUSEPPE LUIGI LAGRANGE;GIUSEPPE LUIGI LAGRANGE;20161;SCIENTIFICO;SCIENTIFICO - SEZIONE AD INDIRIZZO SPORTIVO;14;7
202021;MITD04301Q;VIA DON G.CALABRIA16;IS F.BESTA;F.BESTA;20132;ECONOMICO;RELAZIONI INTERNAZIONALI PER IL MARKETING;7;19
202021;MITF08201L;VIALE LIGURIA21;GIORGI;GIORGI;20143;TECNOLOGICO;TELECOMUNICAZIONI;52;3
202021;MIRC079017;VIALE LOMBARDIA 89;"I.I.S. ""CATERINA DA SIENA""";"I.P.S. ""CATERINA DA SIENA""";20131;IeFP;OPERATORE DELL'ABBIGLIAMENTO;1;16
202021;MIPC05000V;VIA DELLA COMMENDA26;BERCHET;BERCHET;20122;CLASSICO;CLASSICO;33;56
202021;MIRI077018;VIA ULIVI6;G. GALILEI - R. LUXEMBURG;ROSA LUXEMBURG;20152;INDUSTRIA E ARTIGIANATO;ARTIGIANATO - TRIENNIO;4;11
202021;MIPC039015;VIA FRANCESCO GATTI 16;BERTRAND RUSSELL;OMERO;20162;CLASSICO;CLASSICO;8;18
202021;MIRA03601A;VIA LITTA MODIGNANI 55;"""VILFREDO FEDERICO PARETO""";"I.P.A.A. (SEZ.AS.) ""V. F. PARETO""";20161;SERVIZI;SERVIZI PER L'AGRICOLTURA E LO SVILUPPO RURALE;22;6
202021;MITD026012;VIALE MARCHE 71;CREMONA;"ITE ""G.ZAPPA""-SEZ. ASS. I.I.S. CREMONA";20159;ECONOMICO;AMMINISTRAZIONE FINANZA E MARKETING - TRIENNIO;35;16
202021;MIPC05000V;VIA DELLA COMMENDA26;BERCHET;BERCHET;20122;CLASSICO;CLASSICO;58;129
202021;MITF08201L;VIALE LIGURIA21;GIORGI;GIORGI;20143;TECNOLOGICO;ELETTRONICA;28;0
202021;MIPS05701T;VIALE SAN MICHELE DEL CARSO 25;NICOLA MORESCHI;N. MORESCHI;20144;SCIENTIFICO;SCIENTIFICO;92;58
202021;MIPS16000D;VIA DEI NARCISI5;"""G.MARCONI""";"""G.MARCONI""";20147;SCIENTIFICO;SCIENTIFICO;43;28
202021;MITF03801E;VIA LITTA MODIGNANI65;GIUSEPPE LUIGI LAGRANGE;GIUSEPPE LUIGI LAGRANGE;20161;TECNOLOGICO;ELETTRONICA;9;2
202021;MIRH010009;VIA VALVASSORI PERONI8;A. VESPUCCI;A. VESPUCCI;20133;SERVIZI;ACCOGLIENZA TURISTICA - TRIENNIO;20;24
202021;MITD04301Q;VIA DON G.CALABRIA16;IS F.BESTA;F.BESTA;20132;ECONOMICO;AMM. FINAN. MARKETING - BIENNIO COMUNE;70;78
202021;MIPS05701T;VIALE SAN MICHELE DEL CARSO 25;NICOLA MORESCHI;N. MORESCHI;20144;SCIENTIFICO;SCIENTIFICO;73;46
202021;MITD026012;VIALE MARCHE 71;CREMONA;"ITE ""G.ZAPPA""-SEZ. ASS. I.I.S. CREMONA";20159;ECONOMICO;SISTEMI INFORMATIVI AZIENDALI;27;10
202021;MIRI077018;VIA ULIVI6;G. GALILEI - R. LUXEMBURG;ROSA LUXEMBURG;20152;INDUSTRIA E ARTIGIANATO;PRODUZIONI AUDIOVISIVE - OPZIONE;40;37
202021;MITF08201L;VIALE LIGURIA21;GIORGI;GIORGI;20143;TECNOLOGICO;ELETTROTECNICA;13;0
202021;MITD026012;VIALE MARCHE 71;CREMONA;"ITE ""G.ZAPPA""-SEZ. ASS. I.I.S. CREMONA";20159;ECONOMICO;SISTEMI INFORMATIVI AZIENDALI;20;15
202021;MIRH010009;VIA VALVASSORI PERONI8;A. VESPUCCI;A. VESPUCCI;20133;SERVIZI;ENOGASTRONOMIA - TRIENNIO;51;18
202021;MIPC110009;VIA DELLA PASSIONE 12;E.SETTI CARRARO DALLA CHIESA C/O EDUC.;E.SETTI CARRARO DALLA CHIESA C/O EDUC.;20122;EUROPEO;LICEO CLASSICO EUROPEO - ESABAC;3;16
202021;MIPS16000D;VIA DEI NARCISI5;"""G.MARCONI""";"""G.MARCONI""";20147;SCIENTIFICO;SCIENTIFICO;44;27
202021;MIRC058016;VIA OTRANTO 1;PAOLO FRISI;PAOLO FRISI;20157;SERVIZI;SERVIZI DI SALA E DI VENDITA - TRIENNIO;6;4
202021;MITF03801E;VIA LITTA MODIGNANI65;GIUSEPPE LUIGI LAGRANGE;GIUSEPPE LUIGI LAGRANGE;20161;TECNOLOGICO;MECCANICA E MECCATRONICA;22;0
202021;MITN102018;VIA MELZI D'ERIL 9;DANIELE MARIGNONI - MARCO POLO;DANIELE MARIGNONI-MARCO POLO;20154;ECONOMICO;TURISMO;11;35
202021;MIPS16000D;VIA DEI NARCISI5;"""G.MARCONI""";"""G.MARCONI""";20147;LINGUISTICO;LINGUISTICO;8;64
202021;MITD04301Q;VIA DON G.CALABRIA16;IS F.BESTA;F.BESTA;20132;ECONOMICO;AMM. FINAN. MARKETING - BIENNIO COMUNE;76;91
202021;MIPC03000N;VIA BEROLDO9;CARDUCCI;CARDUCCI;20127;CLASSICO;CLASSICO;72;154
202021;MIRI077018;VIA ULIVI6;G. GALILEI - R. LUXEMBURG;ROSA LUXEMBURG;20152;INDUSTRIA E ARTIGIANATO;PRODUZIONI AUDIOVISIVE - OPZIONE;32;19
202021;MIRA03601A;VIA LITTA MODIGNANI 55;"""VILFREDO FEDERICO PARETO""";"I.P.A.A. (SEZ.AS.) ""V. F. PARETO""";20161;SERVIZI;SERVIZI PER L'AGRICOLTURA E LO SVILUPPO RURALE;13;2
202021;MIPC110009;VIA DELLA PASSIONE 12;E.SETTI CARRARO DALLA CHIESA C/O EDUC.;E.SETTI CARRARO DALLA CHIESA C/O EDUC.;20122;INTERNAZIONALE;LICEO LINGUISTICO INTERNAZIONALE - OPZIONE SPAGNOLA;1;28
202021;MITF082512;VIALE LIGURIA21;GIORGI;GIORGI;20143;TECNOLOGICO;ELETTRONICA;21;1
202021;MIPS16000D;VIA DEI NARCISI5;"""G.MARCONI""";"""G.MARCONI""";20147;LINGUISTICO;LICEO LINGUISTICO - ESABAC;2;25
202021;MIPM050003;PIAZZA ASCOLI 2;LICEO STATALE VIRGILIO;LICEO STATALE VIRGILIO;20129;SCIENZE UMANE;SCIENZE UMANE;9;88
202021;MITD026012;VIALE MARCHE 71;CREMONA;"ITE ""G.ZAPPA""-SEZ. ASS. I.I.S. CREMONA";20159;ECONOMICO;AMM. FINAN. MARKETING - BIENNIO COMUNE;40;35
202021;MITF03801E;VIA LITTA MODIGNANI65;GIUSEPPE LUIGI LAGRANGE;GIUSEPPE LUIGI LAGRANGE;20161;SCIENTIFICO;SCIENTIFICO - OPZIONE SCIENZE APPLICATE;17;3
202021;MIRH02000X;VIA URUGUAY 26/3;CARLO PORTA;CARLO PORTA;20151;SERVIZI;ENOGASTRONOMIA - TRIENNIO;52;20
202021;MIRI077018;VIA ULIVI6;G. GALILEI - R. LUXEMBURG;ROSA LUXEMBURG;20152;INDUSTRIA E ARTIGIANATO;APPARATI IMP.TI SER.ZI TEC.CI IND.LI E CIV.LI - OPZIONE;31;0
202021;MITD08251Q;VIALE LGURIA 21;GIORGI;GIORGI;20143;ECONOMICO;AMMINISTRAZIONE FINANZA E MARKETING - TRIENNIO;26;25
202021;MIPC110009;VIA DELLA PASSIONE 12;E.SETTI CARRARO DALLA CHIESA C/O EDUC.;E.SETTI CARRARO DALLA CHIESA C/O EDUC.;20122;LINGUISTICO;LICEO LINGUISTICO - ESABAC;1;26
202021;MIRA03601A;VIA LITTA MODIGNANI 55;"""VILFREDO FEDERICO PARETO""";"I.P.A.A. (SEZ.AS.) ""V. F. PARETO""";20161;SERVIZI;VALORIZ.NE COMMERC.NE DEI PROD. AGRIC. DEL TERRIT. OPZIONE;13;2
202021;MITD026012;VIALE MARCHE 71;CREMONA;"ITE ""G.ZAPPA""-SEZ. ASS. I.I.S. CREMONA";20159;ECONOMICO;AMM. FINAN. MARKETING - BIENNIO COMUNE;64;39
202021;MITD04301Q;VIA DON G.CALABRIA16;IS F.BESTA;F.BESTA;20132;ECONOMICO;SISTEMI INFORMATIVI AZIENDALI;12;4
202021;MITF082512;VIALE LIGURIA21;GIORGI;GIORGI;20143;TECNOLOGICO;ELETTROTECNICA;16;0
202021;MITF03801E;VIA LITTA MODIGNANI65;GIUSEPPE LUIGI LAGRANGE;GIUSEPPE LUIGI LAGRANGE;20161;TECNOLOGICO;ELETTRONICA;12;0
202021;MIRH02000X;VIA URUGUAY 26/3;CARLO PORTA;CARLO PORTA;20151;SERVIZI;PRODOTTI DOLCIARI ARTIGIANALI E INDUSTRIALI - OPZIONE;12;21
202021;MIPM050003;PIAZZA ASCOLI 2;LICEO STATALE VIRGILIO;LICEO STATALE VIRGILIO;20129;SCIENZE UMANE;SCIENZE UMANE - OPZ. ECONOMICO SOCIALE;25;19
202021;MITF11000E;VIA CRESCENZAGO 110;ITT-LS MOLINARI;ITT-LS MOLINARI;20132;TECNOLOGICO;TELECOMUNICAZIONI;27;2
202021;MIRC058016;VIA OTRANTO 1;PAOLO FRISI;PAOLO FRISI;20157;SERVIZI;ENOGASTRONOMIA - TRIENNIO;16;4
202021;MITD04301Q;VIA DON G.CALABRIA16;IS F.BESTA;F.BESTA;20132;ECONOMICO;TURISMO;4;15
202021;MIPM11000D;BASTIONI PORTA VOLTA 16;CARLO TENCA;CARLO TENCA;20121;LINGUISTICO;LINGUISTICO;12;56
