ANNOSCOLASTICO;CODICESCUOLA;INDIRIZZOSCUOLA;DenominazioneIstitutoRiferimento;DenominazioneScuola;CAPSCUOLA;PERCORSO;INDIRIZZOSCOLASTICA;ALUNNIMASCHI;ALUNNIFEMMINE
202021;MIRC079017;VIALE LOMBARDIA 89;"I.I.S. ""CATERINA DA SIENA""";"I.P.S. ""CATERINA DA SIENA""";20131;INDUSTRIA E ARTIGIANATO;PRODUZIONI TESSILI SARTORIALI - OPZIONE;6;55
202021;MIPC05000V;VIA DELLA COMMENDA26;BERCHET;BERCHET;20122;CLASSICO;CLASSICO;72;155
202021;MITD08101E;VIA LATTANZIO 38;"""P. VERRI""";"""P. VERRI""";20137;ECONOMICO;RELAZIONI INTERNAZIONALI PER IL MARKETING;6;15
202021;MISL020003;VIA PRINETTI 47;"LICEO ARTISTICO ""CARAVAGGIO""";"LICEO ARTISTICO ""CARAVAGGIO""";20127;ARTISTICO;GRAFICA;10;11
202021;MIPS02201V;VIA U. DINI7;SALVADOR ALLENDE;SALVADOR ALLENDE;20141;SCIENTIFICO;SCIENTIFICO;76;48
202021;MITF093013;VIA F.LLI ZOIA 130;MARIE CURIE - PIERO SRAFFA;MARIE CURIE;20153;TECNOLOGICO;CHIMICA E MATERIALI;11;4
202021;MIPM03000T;VIA TABACCHI 17;AGNESI;AGNESI;20136;LINGUISTICO;LINGUISTICO;19;53
202021;MIPS05801N;VIA CARLO AMORETTI 63;PAOLO FRISI;PAOLO FRISI;20157;SCIENZE UMANE;SCIENZE UMANE  - OPZ. ECONOMICO SOCIALE - ESABAC;4;11
202021;MITF01701D;VIA DON G. CALABRIA 2;I.I.S. JAMES CLERK MAXWELL;JAMES CLERK MAXWELL;20132;TECNOLOGICO;TRASPORTI E LOGISTICA - BIENNIO COMUNE;87;3
202021;MIRC102013;VIA MELZI D'ERIL 9;DANIELE MARIGNONI - MARCO POLO;DANIELE MARIGNONI - MARCO POLO;20154;IeFP;OPERATORE AI SERVIZI DI PROMOZIONE E ACCOGLIENZA;20;25
202021;MITF070009;PIAZZA TITO LUCREZIO CARO8;FELTRINELLI;FELTRINELLI;20136;TECNOLOGICO;TRASPORTI E LOGISTICA - BIENNIO COMUNE;23;1
202021;MISL01000C;VIA HAJECH 27;LICEO ARTISTICO STATALE DI BRERA;LICEO ARTISTICO STATALE DI BRERA;20129;ARTISTICO;SCENOGRAFIA;15;39
202021;MIRC079017;VIALE LOMBARDIA 89;"I.I.S. ""CATERINA DA SIENA""";"I.P.S. ""CATERINA DA SIENA""";20131;SERVIZI;PROMOZIONE COMMERCIALE E PUBBLICITARIA - OPZIONE;32;31
202021;MIPM050003;PIAZZA ASCOLI 2;LICEO STATALE VIRGILIO;LICEO STATALE VIRGILIO;20129;SCIENZE UMANE;SCIENZE UMANE - OPZ. ECONOMICO SOCIALE;18;30
202021;MIPS05801N;VIA CARLO AMORETTI 63;PAOLO FRISI;PAOLO FRISI;20157;SCIENZE UMANE;SCIENZE UMANE  - OPZ. ECONOMICO SOCIALE - ESABAC;6;11
202021;MIPC05000V;VIA DELLA COMMENDA26;BERCHET;BERCHET;20122;CLASSICO;CLASSICO;80;158
202021;MIPS02201V;VIA U. DINI7;SALVADOR ALLENDE;SALVADOR ALLENDE;20141;SCIENTIFICO;SCIENTIFICO;70;51
202021;MIPM03000T;VIA TABACCHI 17;AGNESI;AGNESI;20136;SCIENZE UMANE;SCIENZE UMANE;24;87
202021;MITL00401G;PIAZZA DELLA VETRA 9;CARLO CATTANEO;"I.T. S. PER GEOM. ""C. CATTANEO""";20123;TECNOLOGICO;TECNOLOGIE DEL LEGNO NELLE COSTRUZIONE - OPZIONE;18;3
202021;MITD08101E;VIA LATTANZIO 38;"""P. VERRI""";"""P. VERRI""";20137;ECONOMICO;AMM. FINAN. MARKETING - BIENNIO COMUNE;84;51
202021;MITF093013;VIA F.LLI ZOIA 130;MARIE CURIE - PIERO SRAFFA;MARIE CURIE;20153;TECNOLOGICO;INFORMATICA;54;0
202021;MITF290008;VIA A. DE VINCENTI 11;ETTORE CONTI;ETTORE CONTI;20148;TECNOLOGICO;TRASPORTI E LOGISTICA - BIENNIO COMUNE;23;1
202021;MITF03801E;VIA LITTA MODIGNANI65;GIUSEPPE LUIGI LAGRANGE;GIUSEPPE LUIGI LAGRANGE;20161;SCIENTIFICO;SCIENTIFICO - SEZIONE AD INDIRIZZO SPORTIVO;18;10
202021;MITF01701D;VIA DON G. CALABRIA 2;I.I.S. JAMES CLERK MAXWELL;JAMES CLERK MAXWELL;20132;SCIENTIFICO;SCIENTIFICO - OPZIONE SCIENZE APPLICATE;72;13
202021;MIRC102013;VIA MELZI D'ERIL 9;DANIELE MARIGNONI - MARCO POLO;DANIELE MARIGNONI - MARCO POLO;20154;SERVIZI;SERVIZI COMMERCIALI;23;47
202021;MIPM050003;PIAZZA ASCOLI 2;LICEO STATALE VIRGILIO;LICEO STATALE VIRGILIO;20129;LINGUISTICO;LINGUISTICO;17;105
202021;MITF070009;PIAZZA TITO LUCREZIO CARO8;FELTRINELLI;FELTRINELLI;20136;TECNOLOGICO;CHIM. MATER. BIOTECN. - BIENNIO COMUNE;21;5
202021;MIPS02201V;VIA U. DINI7;SALVADOR ALLENDE;SALVADOR ALLENDE;20141;SCIENTIFICO;SCIENTIFICO;82;48
202021;MIPM050003;PIAZZA ASCOLI 2;LICEO STATALE VIRGILIO;LICEO STATALE VIRGILIO;20129;CLASSICO;CLASSICO;3;18
202021;MITF11050X;VIA CRESCENZAGO 110;ITT-LS MOLINARI;MOLINARI;20132;TECNOLOGICO;CHIMICA E MATERIALI;14;5
202021;MITD08101E;VIA LATTANZIO 38;"""P. VERRI""";"""P. VERRI""";20137;ECONOMICO;AMM. FINAN. MARKETING - BIENNIO COMUNE;60;40
202021;MITF093013;VIA F.LLI ZOIA 130;MARIE CURIE - PIERO SRAFFA;MARIE CURIE;20153;SCIENTIFICO;SCIENTIFICO - OPZIONE SCIENZE APPLICATE;51;7
202021;MIPM03000T;VIA TABACCHI 17;AGNESI;AGNESI;20136;SCIENZE UMANE;SCIENZE UMANE;17;79
202021;MIPS05801N;VIA CARLO AMORETTI 63;PAOLO FRISI;PAOLO FRISI;20157;SCIENZE UMANE;SCIENZE UMANE - OPZ. ECONOMICO SOCIALE;6;17
202021;MITF290008;VIA A. DE VINCENTI 11;ETTORE CONTI;ETTORE CONTI;20148;SCIENTIFICO;SCIENTIFICO - OPZIONE SCIENZE APPLICATE;101;36
202021;MIRC102013;VIA MELZI D'ERIL 9;DANIELE MARIGNONI - MARCO POLO;DANIELE MARIGNONI - MARCO POLO;20154;IeFP;OPERATORE AI SERVIZI DI PROMOZIONE E ACCOGLIENZA;7;15
202021;MITF070009;PIAZZA TITO LUCREZIO CARO8;FELTRINELLI;FELTRINELLI;20136;TECNOLOGICO;INFOR. TELECOM. - BIENNIO COMUNE;90;5
202021;MIPM03000T;VIA TABACCHI 17;AGNESI;AGNESI;20136;LINGUISTICO;LINGUISTICO;21;52
202021;MIRH038016;VIA LITTA MODIGNANI 65;GIUSEPPE LUIGI LAGRANGE;"""G. BRERA """;20161;SERVIZI;SERVIZI DI SALA E DI VENDITA - TRIENNIO;24;12
202021;MIPC040008;VIA CARLO LINNEO5;BECCARIA;BECCARIA;20145;CLASSICO;CLASSICO;66;102
202021;MIPS02201V;VIA U. DINI7;SALVADOR ALLENDE;SALVADOR ALLENDE;20141;SCIENTIFICO;SCIENTIFICO;62;39
202021;MIRC079017;VIALE LOMBARDIA 89;"I.I.S. ""CATERINA DA SIENA""";"I.P.S. ""CATERINA DA SIENA""";20131;IeFP;OPERATORE GRAFICO;24;12
202021;MIPM050003;PIAZZA ASCOLI 2;LICEO STATALE VIRGILIO;LICEO STATALE VIRGILIO;20129;SCIENTIFICO;SCIENTIFICO;68;26
202021;MIPC110009;VIA DELLA PASSIONE 12;E.SETTI CARRARO DALLA CHIESA C/O EDUC.;E.SETTI CARRARO DALLA CHIESA C/O EDUC.;20122;LINGUISTICO;LICEO LINGUISTICO - ESABAC;5;20
202021;MITF093013;VIA F.LLI ZOIA 130;MARIE CURIE - PIERO SRAFFA;MARIE CURIE;20153;TECNOLOGICO;BIOTECNOLOGIE SANITARIE;20;17
202021;MITF290008;VIA A. DE VINCENTI 11;ETTORE CONTI;ETTORE CONTI;20148;TECNOLOGICO;ELETTR. ED ELETTROTEC.- BIENNIO COMUNE;47;0
202021;MIPS05801N;VIA CARLO AMORETTI 63;PAOLO FRISI;PAOLO FRISI;20157;SCIENZE UMANE;SCIENZE UMANE  - OPZ. ECONOMICO SOCIALE - ESABAC;5;10
202021;MIRI072015;VIA ALCUINO 4;SEVERI - CORRENTI;C.CORRENTI;20149;NUOVI PROFESSIONALI;MANUTENZIONE E ASSISTENZA TECNICA;18;0
202021;MIPM03000T;VIA TABACCHI 17;AGNESI;AGNESI;20136;SCIENZE UMANE;SCIENZE UMANE - OPZ. ECONOMICO SOCIALE;21;77
202021;MITF01701D;VIA DON G. CALABRIA 2;I.I.S. JAMES CLERK MAXWELL;JAMES CLERK MAXWELL;20132;TECNOLOGICO;MECC. MECCATRON. ENER. - BIENNIO COMUNE;69;1
202021;MIRC102013;VIA MELZI D'ERIL 9;DANIELE MARIGNONI - MARCO POLO;DANIELE MARIGNONI - MARCO POLO;20154;NUOVI PROFESSIONALI;SERVIZI COMMERCIALI;29;34
202021;MIRH038016;VIA LITTA MODIGNANI 65;GIUSEPPE LUIGI LAGRANGE;"""G. BRERA """;20161;SERVIZI;ACCOGLIENZA TURISTICA - TRIENNIO;16;21
202021;MIPS61000R;VIA CORRIDONI34/36;"LICEO STATALE MUSICALE ""G. VERDI""";"LICEO STATALE MUSICALE ""G. VERDI""";20122;MUSICALE E COREUTICO;MUSICALE E COREUTICO - SEZ. MUSICALE;8;9
202021;MITF10101R;VIA U. DINI 7;TORRICELLI;TORRICELLI;20142;TECNOLOGICO;MECCANICA E MECCATRONICA;26;0
202021;MITF11050X;VIA CRESCENZAGO 110;ITT-LS MOLINARI;MOLINARI;20132;TECNOLOGICO;CHIMICA E MATERIALI;19;8
202021;MIRC079017;VIALE LOMBARDIA 89;"I.I.S. ""CATERINA DA SIENA""";"I.P.S. ""CATERINA DA SIENA""";20131;NUOVI PROFESSIONALI;INDUSTRIA E ARTIGIANATO PER IL MADE IN ITALY;2;57
202021;MIRC058016;VIA OTRANTO 1;PAOLO FRISI;PAOLO FRISI;20157;SERVIZI;SERVIZI DI SALA E DI VENDITA - TRIENNIO;14;7
202021;MIRI072015;VIA ALCUINO 4;SEVERI - CORRENTI;C.CORRENTI;20149;SERVIZI;SERVIZI SOCIO-SANITARI - ODONTOTECNICO;21;20
202021;MIPM050003;PIAZZA ASCOLI 2;LICEO STATALE VIRGILIO;LICEO STATALE VIRGILIO;20129;SCIENZE UMANE;SCIENZE UMANE;17;85
202021;MITF290008;VIA A. DE VINCENTI 11;ETTORE CONTI;ETTORE CONTI;20148;TECNOLOGICO;MECC. MECCATRON. ENER. - BIENNIO COMUNE;25;0
202021;MITF093013;VIA F.LLI ZOIA 130;MARIE CURIE - PIERO SRAFFA;MARIE CURIE;20153;SCIENTIFICO;SCIENTIFICO - OPZIONE SCIENZE APPLICATE;62;26
202021;MIPS61000R;VIA CORRIDONI34/36;"LICEO STATALE MUSICALE ""G. VERDI""";"LICEO STATALE MUSICALE ""G. VERDI""";20122;MUSICALE E COREUTICO;MUSICALE E COREUTICO - SEZ. MUSICALE;16;11
202021;MISL01000C;VIA HAJECH 27;LICEO ARTISTICO STATALE DI BRERA;LICEO ARTISTICO STATALE DI BRERA;20129;ARTISTICO;AUDIOVISIVO MULTIMEDIA;25;51
202021;MIPM03000T;VIA TABACCHI 17;AGNESI;AGNESI;20136;SCIENZE UMANE;SCIENZE UMANE;26;90
